epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.541,1.01693,1.47567,1.15371,0.90841,0.89722,0.9746,0.70969,0.95008,0.8675,1.02757,0.000469808,0.000469808,0.000469808
2,577.647,0.91323,0.698,1.07063,0.97952,0.93836,0.97154,0.72018,0.97745,0.79679,1.00268,0.000936775,0.000936775,0.000936775
3,868.091,0.90362,0.64238,1.08151,0.72382,0.54313,0.60957,0.39299,1.31433,1.9648,1.31118,0.00139431,0.00139431,0.00139431
4,1436.98,0.90533,0.60907,1.07365,0.96765,0.97191,0.99353,0.76942,0.82824,0.49502,0.94665,0.00138656,0.00138656,0.00138656
5,2397.43,0.88873,0.5851,1.06575,0.9784,0.98622,0.99376,0.766,0.8522,0.503,0.99658,0.00137241,0.00137241,0.00137241
6,3356.07,0.88512,0.5656,1.06962,0.87141,0.88745,0.96168,0.72846,0.8833,0.70539,0.99153,0.00135826,0.00135826,0.00135826
7,3926.66,0.85446,0.52765,1.0489,0.97207,0.9575,0.98738,0.78412,0.82211,0.47127,0.94791,0.00134412,0.00134412,0.00134412
8,4200.66,0.84111,0.52309,1.03999,0.92582,0.94518,0.97981,0.77397,0.80881,0.60273,0.94517,0.00132997,0.00132997,0.00132997
9,4473.5,0.82384,0.50366,1.03676,0.97863,0.97179,0.99223,0.79478,0.75925,0.43043,0.92628,0.00131582,0.00131582,0.00131582
10,4746.33,0.81766,0.48346,1.02312,0.97263,0.98404,0.99175,0.7889,0.7787,0.42712,0.95174,0.00130168,0.00130168,0.00130168
11,5019.57,0.82968,0.4883,1.03899,0.97762,0.98361,0.99091,0.78194,0.80935,0.41474,0.96363,0.00128753,0.00128753,0.00128753
12,5291.58,0.81021,0.47702,1.02743,0.97514,0.9918,0.99281,0.80766,0.76404,0.38366,0.95184,0.00127338,0.00127338,0.00127338
13,5564.53,0.80968,0.46773,1.02947,0.97496,0.98945,0.99199,0.8036,0.76041,0.40209,0.9499,0.00125923,0.00125923,0.00125923
14,5836.22,0.80371,0.46566,1.02942,0.99088,0.98267,0.99435,0.80158,0.77535,0.39702,0.94876,0.00124509,0.00124509,0.00124509
