epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20474.1,1.08339,1.71276,1.25193,0.93215,0.83373,0.91027,0.68602,0.95396,0.89193,1.21369,0.000470663,0.000470663,0.000470663
2,20782.1,1.04738,0.91869,1.21188,0.90519,0.37473,0.68127,0.49128,1.0934,2.08004,1.28793,0.000937621,0.000937621,0.000937621
3,21089.1,1.04276,0.84153,1.19166,0.89345,0.87708,0.94603,0.6739,0.97263,1.16586,1.2076,0.00139515,0.00139515,0.00139515
4,21396.3,1.02127,0.79924,1.1775,0.62191,0.50367,0.44347,0.34063,1.19788,4.3612,1.38522,0.00138656,0.00138656,0.00138656
5,21704.1,0.96908,0.70905,1.16159,0.94848,0.89665,0.95577,0.72919,0.95577,1.4848,1.20078,0.00137241,0.00137241,0.00137241
6,22012.3,0.94765,0.65861,1.13524,0.94593,0.90555,0.94854,0.73136,0.93459,0.63858,1.153,0.00135826,0.00135826,0.00135826
7,22319.4,0.92076,0.6533,1.11764,0.96097,0.875,0.9551,0.74893,0.88087,0.62416,1.14269,0.00134412,0.00134412,0.00134412
8,22627.3,0.91175,0.61869,1.12018,0.99577,0.93061,0.97407,0.75135,0.8806,0.50313,1.12613,0.00132997,0.00132997,0.00132997
9,22934.6,0.92251,0.62351,1.13213,0.95177,0.94354,0.98331,0.78025,0.8334,0.48286,1.11625,0.00131582,0.00131582,0.00131582
10,23242.3,0.90678,0.60997,1.11592,0.96146,0.92861,0.98365,0.79223,0.82038,0.47678,1.10308,0.00130168,0.00130168,0.00130168
11,23550.2,0.90429,0.60857,1.10799,0.8092,0.8253,0.83458,0.57259,1.06017,0.72285,1.31538,0.00128753,0.00128753,0.00128753
12,23857.5,0.83532,0.55689,1.07489,0.98593,0.93514,0.97753,0.78034,0.8196,0.47627,1.09068,0.00127338,0.00127338,0.00127338
13,24164.9,0.86796,0.57681,1.07841,0.97477,0.92917,0.97129,0.79638,0.79191,0.4755,1.08107,0.00125923,0.00125923,0.00125923
14,24471.8,0.8486,0.53353,1.08099,0.95845,0.95225,0.98427,0.80376,0.80255,0.44366,1.08699,0.00124509,0.00124509,0.00124509
